requirements,opportunity_id,content_id,summary,category_description,title,display_url,recurrence_type,street_address,2nd_address,city,state,postcode,country,website,borough,latitude,longitude,location,community_board,council_district,census_tract,bin,bbl,nta
"<p>We are looking for individuals who can commit a minimum of three hours a week, for a few months. Tuesdays and Wednesdays, anytime from 9-4pm work best, but we are flexible to volunteers&#39; schedules.</p> <p>&nbsp;</p> <p>&nbsp;</p>",Administrative Volunteer,"<p>We are looking for volunteers to assist with an assortment of administrative tasks. These may include using the computer for data entry, uploading and performing simple edits of pictures, writing descriptions of projects, tracing and painting on cardboard, answering phones, posting pictures and stories on Facebook, inputting guests and volunteer information on the computer.</p> <p> </p> <p>The Caldwell Temple Soup Kitchen has been operating for six years in the South Bronx, providing emergency food relief, social and health services, community meals, and much more.</p>","Assistance with any and all administrative tasks associated with running our organization. This work will enable us to better market our services, track who is utilizing our programs, and apply for grants to serve more people.",Communities and Neighbors,Caldwell Temple Soup Kitchen PATHHSEO,/opportunities/9365,ongoing,1288 Reverend James A. Polite Avenue,,Bronx,NY,10457,US,http://www.read718.org,BRONX,40.8297,-73.8956,POINT(-73.895581 40.82971),203,17,125,2010446,2029730016,Morrisania-Melrose
"<p>We are looking for an IT professional or student who can assist us&nbsp; for 3-5- hours per week. If the work can be done at home to suit the individual, we are very flexible to that.&nbsp;</p>",Help Update Social Media Presence,"<p> PATHHSEO @ Caldwell Temple has been serving the Morrisania community in the South Bronx for the past six years. Our mission is <strong><em>“Help to Heal the Hurt of Hunger and the Consequences of Poverty</em>"" </strong>through emergency food relief and social services.</p> <p>to raise awareness of our organization both for the community that we serve and for potential donors and volunteers and we require the assistance of someone with good I.T. skills to help us in the maintenance of our social media presence, as well as the establishment and maintenance of our website. It will include the maintenance of our I.T. system.</p>","Set up and maintain our website, maintain our social media and our IT system",Communities and Neighbors,Caldwell Temple Soup Kitchen PATHHSEO,/opportunities/9366,ongoing,1288 Reverend James A. Polite Avenue,,Bronx,NY,10459,US,https://ehtp.org/volunteer,BRONX,40.8297,-73.8956,POINT(-73.895581 40.82971),203,17,125,2010446,2029730016,Morrisania-Melrose
"<p>Please complete our volunteer application: &nbsp;<a href=""https://docs.google.com/a/southbronxunited.org/forms/d/1t19gutgeYrfsX7tO5ITGnIT2clB-eW8KPBCvgaSKkQc/viewform"">Academic Volunteer</a></p>",After-School Tutor,"<p><strong>Overview:</strong><br /> After-School Tutors work with small groups (3-4 students) of boys and girls in the South Bronx United Youth Development Program to provide homework help and support the youth in reaching their grade levels in math and the English language arts. Tutors meet with the boys and girls, ages 11-14, for 2 hours on a set day every week. Tutors work with the same groups week to week, having the opportunity to build relationships with the kids and serve as a positive adult role model in their lives.</p> <p><strong>Dates:</strong> <br /> September – June, Monday-Friday, 4-6pm</p> <p><strong>Where: </strong><br /> Boys Prep School Building, Third Floor<br /> 192 E 151st Street<br /> Bronx, New York 10451</p> <p><strong>Qualifications:</strong><br /> South Bronx United is looking for highly motivated, energetic volunteers who want to make a difference in the lives of South Bronx youth. Volunteers should possess a solid general knowledge of 5th-9th grade subject areas and feel comfortable teaching youth how to utilize the resources available to solve problems and guide them through the process rather than simply providing answers. It is not expected that tutors will be experts in all subject areas or know the answers to everything!</p> <p><strong>Commitment:</strong><br /> While the program runs every school day, Academic Coaches are only asked to commit to 2 hours, one day a week for one semester. However, if a coach would like to be more involved, he/she is always welcome.</p> <p><strong>Training:</strong><br /> An orientation at the beginning of service will be run for all Academic Coaches to give general guidelines and best practices. Additionally, a training will be held at or near the beginning of service to provide tutoring tips and to go over the specific needs of the students.</p> <p><strong>Benefits:</strong><br /> In addition to helping provide the resources and support to allow underserved students to thrive in school, SBU is happy to connect with your school to see if your volunteer hours can work towards school service or academic requirements.</p> <p><strong>Beyond Tutoring:</strong><br /> Youth participating in the program are also members of the South Bronx United Furia Azul, Strikers, and Shooting Stars Travel Soccer Teams. Academic Coaches are welcome and encouraged to come out and see a game or get involved in a practice as youth are extremely passionate about the sport and its a great way to connect with the kids.</p> <p>NYCYM</p>",South Bronx United is looking for After-School Tutors who will be paired with one student or a small group (3-4 students) in the South Bronx United After-School Tutoring Program. Volunteers will provide homework help and support the youth in reaching their grade level in math and/or English.,Education,South Bronx United,/opportunities/9424,ongoing,1288 Reverend James A. Polite Avenue,,Bronx,NY,10459,US,http://pathhseo.org,BRONX,40.8297,-73.8956,POINT(-73.895581 40.82971),203,17,125,2010446,2029730016,Morrisania-Melrose
,ESL Teacher for Russian speakers - JASA Manhattan Beach Senior Center,"<p><strong>Purpose</strong></p> <p>The ability to understand English is an important skill at any age. It’s never too late to learn! Facilitate a class for seniors to practice speaking, reading, and writing English. <br /> <br /> <strong>Responsibilities</strong></p> <ul> <li>Lead a weekly class in ESL (English as a Second Language)</li> <li>Create lessons suitable for people with varying knowledge of English</li> <li>Communicate effectively and courteously with JASA seniors and staff</li> </ul> <p><strong>Skills</strong></p> <ul> <li>Experience teaching ESL</li> <li>Experience working with seniors is helpful, but not required</li> <li>Good organizational skills and the ability to prioritize and manage multiple tasks</li> <li>Strong communication skills</li> <li>Patience</li> <li>Knowledge of Russian is helpful, but not required</li> <li>Comfort leading a group of varying levels</li> </ul> <p><br /> <strong>Other</strong></p> <ul> <li>Flexible scheduling is available with a minimum commitment of one day a week during business hours</li> <li>Ongoing opportunity</li> <li>Maintain professional behavior at all times and adhere to JASA’s volunteer policies</li> </ul> <p><br /> <strong>About JASA</strong><br /> Founded in 1968, JASA's mission is to sustain and enrich the lives of the aging in the New York metropolitan area so that they can remain in the community with dignity and autonomy. JASA is one of New York's largest and most trusted agencies serving older adults in the Bronx, Brooklyn, Manhattan and Queens.</p>",We are seeking a volunteer to teach English as a Second Language to a primarily Russian-speaking group.,Economic and Workforce Development,JASA,/opportunities/9460,ongoing,Boys Prep,"192 E 151st Street, 3rd Floor",Bronx,NY,10451,US,http://pathhseo.org,BRONX,40.8187,-73.8685,POINT(-73.868527 40.818689),209,18,20,2021972,2035910050,Soundview-Castle Hill-Clason Point-Harding Park
,Create Rosh Hashanah Greeting Cards for the Elderly,"<p>DOROT’s greeting card project helps bring joy to some of our frailest and most isolated seniors. Every card is designed and created by you, our volunteers. We are seeking volunteers to create Rosh Hashanah Greeting Cards, which we will distribute to our seniors during our winter package delivery.</p> <p>Volunteers who wish to participate in this opportunity should visit <a href=""http://www.dorotusa.org/makeacard"">www.dorotusa.org</a><a href=""http://www.dorotusa.org/makeacard"">/makeacard</a> for instructions. Be sure click on ""more tips"" in Box 1.</p> <p>The cards should have a theme of winter, warmth, snowflakes, etc. Please do not include any holiday specific themes on the cards.</p>","DOROT’s greeting card project helps bring joy to some of our frailest and most isolated seniors. Every card is designed and created by you, our volunteers. We are seeking volunteers to create Rosh Hashanah Greeting Cards, which we will distribute to our seniors during our winter package delivery.",Communities and Neighbors,DOROT,/opportunities/9517,ongoing,60 West End Avenue,,Brooklyn,NY,11235,US,http://pathhseo.org,BROOKLYN,40.5802,-73.9535,POINT(-73.953528 40.580186),315,48,61004,3326901,3087130077,Brighton Beach
"<p>Requirements for this position include proficiency in drafting a variety of professional correspondence and leadership skills to oversee a writing team on editing various projects, such as outreach newsletters to our database, letters to potential donors and corporate partners, and promotional materials about our classes and community programs. &nbsp;Most importantly, we are interested in enthusiastic, articulate volunteers who can passionately communicate what we are all about at ATW!</p>",Experienced Fundraiser for Non Profit Theatre,"<p>Join us at The Actors Theatre Workshop, an award-winning theatre and community center with a 24-year history of innovative programming! At ATW, we are deeply committed to the ideal that every human being is creative, and that theater can transform how we relate to one another and ourselves. We seek experienced writers to promote our diverse programs and classes- including our acting conservatory, and our volunteer and internship program, broaden our donor base, and expand our mission into the world!</p> <p> </p> <p>Requirements for this position include proficiency in drafting a variety of professional correspondence and leadership skills to oversee a writing team on editing various projects, such as outreach newsletters to our database, letters to potential donors and corporate partners, and promotional materials about our classes and community programs. Most importantly, we are interested in enthusiastic, articulate volunteers who can passionately communicate what we are all about at ATW!</p> <p>Become a member of The Actors Theatre Workshop and support us in our life-affirming mission! Go to<a href=""http://www.actorstheatreworkshop.com/""> http://www.actorstheatreworkshop.com</a> to find out more, and fill out an online volunteer application for this position today!</p>","We seek experienced writers to promote our diverse programs and classes- including our acting conservatory, and our volunteer and internship program, broaden our donor base, and expand our mission into the world!",Communities and Neighbors,"The Actors Theatre Workshop, Inc.",/opportunities/9566,ongoing,DOROT Main Office,171 West 85th Street,New York,NY,10024,US,http://pathhseo.org,,,,,,,,,,
<p>Some previous experience</p>,Help Adult Learners sharpen their writing skills,"<p>We have students at all levels seeking to improve their writing skills. We are particularly interested in someone to tutor High School Equivalency students on the comparative essay. If you have two hours a week to share your love for writing, we'd love to talk to you about our volunteer opportunities. Previous tutoring experience desirable.</p>","Imani House Adult Literacy Program is recruiting tutors to teach writing skills to adult learners. If you're willing to share your writing skills and have 2 hours a week free, we'd invite you to participate in helping adult learners improve their writing.",Communities and Neighbors,"Imani House, Inc.",/opportunities/9574,ongoing,145 West 28th Street 3 Fl.,,New York,NY,10001,US,http://southbronxunited.org,MANHATTAN,40.7466,-73.9918,POINT(-73.991829 40.746602),105,3,95,1015100,1008040011,Midtown-Midtown South
"<p>Volunteers are expected to commit one evening a week, Tuesday or Thursday, 6-9pm the entirety of the semester.</p>","Volunteer English (ESL, ESOL) Teacher","<p><strong>Centro NYC, a non-profit organization serving the immigrant community in New York City, seeks volunteer ESL teachers for its 2019 Fall term (mid-September - mid-December 2019)</strong></p> <p>Classroom English teaching experience is preferred. However we do recruit new teachers with strong English communication skills and a good feel for grammar, even if you don't know all the rules! New teachers are partnered with and mentored by experienced teachers.</p> <p>Time commitment: One Tuesday or Thursday evening per week teaching plus the time required for lesson preparation (usually every other week.) Classes meet Tuesdays and Thursdays from 6:30-9:00 p.m. near Lincoln Center in Manhattan, and teachers are asked to arrive 6-6:15 to set up. In addition, there may be one staff meeting mid-semester. We have openings for teachers of beginning, intermediate, and advanced adult students.</p> <p>Please respond by email to May at May@CentroNYC.org. Include your resume and tell us the evening(s) that you're available for teaching.<br /> <br /> Learn more about us at centronyc.org and facebook.com/CentroNYC2018/</p>","CentroNYC is a non-profit, all volunteer-run organization that offers English classes for immigrants in NYC. We are looking for a talented, passionate, and engaged individual to join us as an English Teacher for our Fall 2019 term!",Economic and Workforce Development,CentroNYC,/opportunities/9604,ongoing,144 St. Felix St. (literacy program site),76A Fifth Avenue (Imani House office),Brooklyn,NY,11217,US,http://www.jasa.org,BROOKLYN,40.6857,-73.9771,POINT(-73.977133 40.685664),302,35,35,3059187,3021110045,Fort Greene
,Yoga Teaching Volunteers,"<p> </p> <p>About Hosh</p> <p><a href=""http://www.hoshyoga.org/"">Hosh Yoga</a> and <a href=""http://www.hoshseniors.org/"">Hosh Kids</a>, are health and wellness non-profit programs based in Brooklyn, New York, committed to making people's lives better by healing bodies and minds through movement. </p>","Teaching volunteers for our yoga, school, senior, and community center programs for a min of 3 month commitment. Teachers would receive a letter of recommendation, and be entered into our studio and community roster of teachers for teaching opportunities.",Health and Well-Being,Hosh Yoga,/opportunities/9741,ongoing,2 Lafayette Street,,New York,NY,10007,US,http://imanihouse.org,MANHATTAN,40.7137,-74.0036,POINT(-74.003586 40.713723),101,1,31,1001672,1001550001,SoHo-TriBeCa-Civic Center-Little Italy
,Afterschool Enrichment Program Instructors,"<p> </p> <p>About Hosh</p> <p><a href=""http://www.hoshyoga.org/"">Hosh Yoga</a> and <a href=""http://www.hoshseniors.org/"">Hosh Kids</a>, are health and wellness non-profit programs based in Brooklyn, New York, committed to making people's lives better by healing bodies and minds through movement. </p>",Hosh Kids is need of enrichment instructors to support its programs at school day and afterschool programs in Brooklyn.,Education,Hosh Yoga,/opportunities/9743,ongoing,55 Nassau Avenue,,brooklyn,NY,11222,US,http://www.centronyc.org/index.htm,BROOKLYN,40.7233,-73.9522,POINT(-73.952205 40.72332),301,33,569,3066006,3026440045,Greenpoint
"<p><strong>Qualifications:</strong></p> <p>&nbsp;</p> <ul> <li>Comfortable building relationships with the community and Red Cross.</li> </ul> <ul> <li>Working knowledge of Red Cross servcies and programs (training available).</li> </ul> <ul> <li>Dedicated to promoting the Red Cross mission.</li> </ul> <ul> <li>Willing to train and involve other volunteers.</li> </ul> <ul> <li>Valid driver&#39;s license or access to reliable transportation. (travel expenses not reimbursed)</li> <li>Bi-lingual a plus, but not required.</li> </ul> <ul> <li>Comfortable with public speaking and presenting before large audiences.</li> </ul> <ul> <li>Ability to use discretion and act in a professional manner at all times.</li> </ul> <p>&nbsp;</p> <p><strong>Location:</strong>&nbsp;Midtown West, Manhattan (Hell&#39;s Kitchen)</p>",Community Relations Ambassador,"<p>The Greater New York Region is looking for public advocates to promote the programs, services and activities provided to the community. These advocates will serve as local figureheads for the Red Cross in their community and surrounding neighborhoods.</p> <p> </p> <p><strong>Please read the entire description to see if your qualified for this position.</strong></p> <p> </p> <p>There is no specific <strong>time commitment</strong>, however the region is seeking candidates that are flexible to attend meetings in the community and can serve in the role for a minimum of<strong> three years</strong>.</p> <p> </p> <p><strong>Description:</strong></p> <p> </p> <ul> <li>Attending community meetings and events to show Red Cross presence and, when possible,<strong> report out on activities and services</strong>.</li> </ul> <ul> <li>Identify opportunities for the <strong>Red Cross to collaborate</strong> with your community (events held by schools, faith-based organizations, local elected officials, etc.).</li> </ul> <ul> <li>Help <strong>connect Red Cross with groups, individuals and/or local businesses</strong> that may provide opportunities to host blood drives, hold emergency preparedess presentations, recruit volunteers, etc.</li> </ul> <ul> <li><strong>Represent the Red Cross</strong> at high visibility events including local street fairs, tabling events and large transportation sites.</li> </ul> <ul> <li><strong>Keep the Red Cross informed </strong>of local news and information that may be of interest through social media, local newspapers, etc.</li> </ul> <ul> <li>Though not required, availability to deploy during large-scale disasters to provide visibility and presence within the community.</li> </ul> <ul> <li>Working knowledge and understanding of the Community Relations Department's large-scale disaster plan (training to be provided).</li> </ul> <ul> <li>Help promote and provide trainings associated with the Community Preparedness Training partnership between Greater New York and Governor Andrew Cuomo.</li> </ul> <p> </p> <p><strong>What's in it for you?</strong></p> <p> </p> <ul> <li>Help better prepare your community through promotion of Red Cross services.</li> </ul> <ul> <li>Gain greater knowledge of events, news and groups in your community.</li> </ul> <ul> <li>Be directly involved in helping your community should disaster occur.</li> </ul> <ul> <li>Raise your profile in the community as a trusted leader, spokesperson, advocate and point of contact for the American Red Cross.</li> </ul>","The Greater New York Region is looking for public advocates to promote the programs, services and activities provided to the community. These advocates will serve as local figureheads for the Red Cross in their community and surrounding neighborhoods.",Emergency Preparedness and Response,American Red Cross in Greater New York (NYC),/opportunities/9919,ongoing,2 Lafayette Street,11th Fl.,New York,NY,10007,US,http://www.nyc.gov/aging,MANHATTAN,40.7137,-74.0036,POINT(-74.003586 40.713723),101,1,31,1001672,1001550001,SoHo-TriBeCa-Civic Center-Little Italy
"<p><strong>Qualifications:</strong></p> <ul> <li>Comfortable presenting an interactive curriculum to youth in grades 3-5 (ages 8-11) in a variety of settings including the classroom</li> </ul> <ul> <li>Working knowledge of, or a strong desire to learn, emergency preparedness</li> </ul> <ul> <li>Strong organizational skills and ability to follow through with minimum supervision</li> </ul> <ul> <li>Excellent communication skills, including public speaking</li> </ul> <ul> <li>Dynamic personality that relates well to youth in the target age group</li> </ul> <ul> <li>Reliable, punctual with good time management skills</li> </ul> <ul> <li>Ability to complete reports and conduct follow up calls with sites in a timely manner</li> </ul> <ul> <li>Ability to problem solve and be flexible with program changes</li> </ul> <ul> <li>Ability to arrange transportation to pick up materials if needed, and to travel to event location</li> </ul> <ul> <li>Presenters may need to work with school administrators, teachers and parents. They may also need to work with community partners, including faith-based organizations, civic assocations, elected officials, and youth organizations such as the YMCA, Boys &amp; Girls Club, Boy Scouts and Girl Scouts.</li> </ul>","""The Pillowcase Project"" Volunteer Presenter","<p>The <strong>Pillowcase Project</strong> is a national preparedness education program that teaches emergency-preparedness education to youth in grades 3-5 in school and after-school settings. In a highly interactive, one hour format, the program addresses home fire safety, local hazards and coping skills and teaches children how to make their own personal emergency kit in a Red Cross/Disney branded pillowcase supplied by the program.</p> <p>Presenters deliver a fun and highly interactive 40-60 minute presentation in school classrooms and other settings throughout the community. </p> <p><strong>Watch an exciting video:</strong> <a href=""http://youtu.be/6LDgOzirFlk"">http://youtu.be/6LDgOzirFlk</a></p> <p><strong>Time Committment: </strong>Presentations are delivered during <span>weekdays or on weekends</span> and require a <span>minimum 2 hour time commitment </span>which does not include travel time; 1 hour presentation plus time for set-up and clean up.</p> <p><span>Initial training requires a minimum of 8-12</span> hours to complete.</p> <p><strong>Key Responsibilities:</strong></p> <p>In order to successfully fullfill the following duties, volunteers must complete the required training (see Training Section).</p> <ul> <li>Deliver The Pillowcase Project presentations to youth in school classrooms and throughout the community</li> </ul> <ul> <li>Work in a team to build The Pillowcase Project throughout the community</li> </ul> <ul> <li>After each presentation, ensure all reporting data is collected and distributed to staff in a timely manner</li> </ul> <ul> <li>May assist with community outreach to schedule presentations at sites</li> </ul> <ul> <li>May assist in reaching key groups within the community, such as military families, at-risk youth, etc</li> </ul> <ul> <li>May mentor new presenters to help build a team of experienced youth preparedness presenters</li> </ul> <ul> <li>May be required to attend, either by phone or in person, meetings or conference calls to discuss program updates</li> </ul> <ul> <li>Other duties as agreed to between the presenter and The Pillowcase Project Regional Manager</li> </ul> <p>-------------------------------------------------------------------------------</p> <p><strong>Training:</strong></p> <p>Numerous tools have been developed for this program including a standardized curriculum, workbook, quizzes and activities which have been carefully constructed with the help of curriculum and hazard experts. Many tools for presenters have been developed to foster consistency and fidelity to the program goals and objectives.</p> <ul> <li>Basic Instructor Fundamentals (BIF), 60-75 minutes online course</li> </ul> <ul> <li>The Pillowcase Project Training Part 1 (online or instructor led), 60-90 minute course</li> </ul> <ul> <li>The Pillowcase Project Training Part 2 (in person ""teach-backs"")</li> </ul> <p>-------------------------------------------------------------------------------</p> <p><strong>What's in it for you?</strong></p> <ul> <li>Enhance presentation, facilitation and negotiation skills</li> </ul> <ul> <li>Build knowledge about emergency preparedness and Red Cross services</li> </ul> <ul> <li>Depending on presenter's skills and willingness, may reach out to various community and youth groups to help promote program</li> </ul> <ul> <li>For those volunteers who are pursuing a career in education or working with children, this position offers experience teaching in classroom settings and working with youth representing a wide range of demographics</li> </ul>","The Pillowcase Project is a preparedness education program which teaches children in grades 3 to 5 (ages 8 to 11) personal family preparedness, awareness of local hazards, basic coping skills and home fire safety.",Emergency Preparedness and Response,American Red Cross in Greater New York (NYC),/opportunities/9921,ongoing,520 W 49th St,,New York,NY,10019,US,http://www.hoshyoga.org/fellowship/,MANHATTAN,40.7646,-73.9935,POINT(-73.993509 40.764578),104,3,129,1080966,1010770043,Clinton
<p>A commitment to inclusion and working together in good spirits.&nbsp;</p>,Build Novel Boats With Us!,"<p>HarborLAB will be making an Irish currach from a vinyl billboard ad, an Ethiopian tankwa from invasive phragmites, and more! Come join us! </p> <p>This project is open to all skill levels! But we especially need:</p> <p>* Boat builders</p> <p>* Carpenters and woodworkers </p> <p>* Handy folks </p> <p>* Engineers </p> <p> </p> <p>* Students/Interns </p> <p> </p> <p>* Naturalists </p> <p> </p> <p>We will make reed boats from invasive phragmites gathered from parks under the direction of conservationists; faux leather hulled boats from reclaimed wood and used vinyl billboard ads; plastic bottle boats from recycling streams, and more! </p> <p>Our boats will be showcased at events and used to explore the estuary. </p>","Make boats from different cultures and for eco-education, using invasive plants and reused materials!",,HarborLAB,/opportunities/9979,ongoing,520 W 49th St,,New York,NY,10019,US,http://www.hoshyoga.org/fellowship/,MANHATTAN,40.7646,-73.9935,POINT(-73.993509 40.764578),104,3,129,1080966,1010770043,Clinton
"<p><strong>Volunteer requirements:</strong></p> <ul> <li>Must be at least 21</li> <li>Good English speaking + written skills</li> <li>Willing to work as part of a collaborative team</li> <li>Available to donate <ul> <li>1 weekday morning, afternoon, evening or weekend shift a week</li> <li>1 overnight shift a month</li> </ul> </li> <li>No experience necessary!&nbsp;</li> </ul>",Volunteer Peer Counselors Needed for NYC 24-Hr Suicide Prevention Hotline,"<p>Samaritans of New York operates the city’s 24-hour suicide prevention hotline. Last year, we answered over 75,000 hotline calls. Samaritans is part of a well-established international network of 400 centers in 42 countries where over 20,000 volunteers provide crisis response and emotional support services to people who are in distress, depressed and suicidal.</p> <p><strong>Samaritans is currently accepting applicants for the October 2019 Hotline Training Class. If you are interested in becoming a Samaritans volunteer, please contact us to attend the upcoming orientation for this class on:</strong></p> <p><strong>Tuesday, August 20<br /> Wednesday, August 28<br /> Thursday, September 5</strong></p> <p><strong>Samaritans greatest priority at this time is to find qualified applicants who are available to work weekday mornings or afternoons. Those applicants will receive preferential treatment. </strong></p> <p><em>To receive a Volunteer Information packet, please email <strong>newvolunteer@samaritansnyc.org </strong>with the <strong>following information:</strong></em></p> <p><em>-your full name</em></p> <p><em>-phone number</em></p> <p><em>-residential street address</em></p> <p><strong><em>Or:</em></strong></p> <p><em>-</em><em>Inquire through our website: <strong>http://samaritansnyc.org/volunteer-2/</strong></em></p> <p><strong><em>- </em></strong><em>Call <strong>212-673-3041</strong> to receive a Volunteer Information Packet by mail</em></p> <p><em>We look forward to hearing from you!</em></p>",You'll make a significant impact on Samaritans 24-hour emotional support hotline. Volunteers love the personal satisfaction that comes with helping individuals that truly need and appreciate your compassion and support.,Communities and Neighbors,Samaritans of New York,/opportunities/10014,ongoing,53-21 Vernon Boulevard,,LIC,NY,11101,US,http://www.hoshkids.org,QUEENS,40.7402,-73.9549,POINT(-73.954871 40.740155),402,26,1,4459315,4000380001,Hunters Point-Sunnyside-West Maspeth
"<ul> <li>10 or more years business experience</li> <li>Ability to use email, and search the Internet,&nbsp;</li> <li>Willingness to participate in an orientation program - (approximately 10 four hour sessions )</li> <li>Availability &nbsp;for mentoring 12 or more hours a month</li> <li>A desire to want to give back in a meaningful way to the business community</li> </ul>",Business Mentor,"<p>SCORE, is a national business mentoring organization with 300+ offices and 11,000+ volunteers. SCORE was founded in 1964 by the US Small Business Administration (SBA). SCORE 's mission is to provide FREE one-on-one confidential business counseling and affordable, skills-based workshops to small business owners and those wishing to start a business.</p> <p>SCORE NYC is the NY metro area local chapter. We have five convenient offices located in Brooklyn, Bronx and Manhattan. Annually, SCORE NYC assists over 5,000 clients and conducts in excess of 8,000 client mentoring sessions.SCORENYC is actively recruiting VOLUNTEERS in these areas:</p> <p><strong>Certified Primary Mentors </strong>10+ years of experience required as a senior executive or the owner of a business with broad-based experience AND able to volunteer 120 hours per year or more.</p> <p><strong>Professional Specialists </strong>such as an accountant, patent or trademark attorney, insurance broker, social media expert, restaurateur or retailer who can bring specific expertise to the business community.</p> <p>PLUS volunteers with expertise in the area of Human Resourses, Marketing, Graphic Arts, Event Planning, and Community Outreach. </p> <p>READY TO TAKE THE NEXT STEP</p> <p>Email: humanresources@scorenyc.org</p> <p>Please include your resume or career summary, contact info, and availability </p>","Do you have years of operational business experience? Do you enjoy sharing your business knowledge with others? Do you have the time to mentor another entrepreneur? If the answer is YES , join our team at SCORE NYC as a Volunteer Business Mentor.",,Score NYC,/opportunities/10188,ongoing,120 West 106th st,,New York,NY,10025,US,http://www.harborlab.org,MANHATTAN,40.7999,-73.9645,POINT(-73.96447 40.799905),107,7,189,1081582,1018600020,Upper West Side
<ul> <li>Ability to write high-engagement social media content that reflects SCORE&#39;s brand</li> <li>Excellent communication skills</li> <li>Collaborate with Marketing and Clients to develop a variety of content marketing materials</li> <li>Produce error-free content that adheres to SCORE&#39;s guidelines</li> <li>Ability to work well in a team setting</li> <li>Simultaneously manage multiple projects with short deadlines</li> </ul>,Workshop Committee Volunteer,"<p>We are the Workshop Committee for one of the largest chapters of SCORE, a national non-profit organization dedicated to supporting small businesses. We are in need of a copywriter who can:</p> <ul> <li>Connect with our client base through multiple channels</li> <li>Be part of a team responsible for coordinating workshop / events</li> <li>repurpose marketing materials for multiple channels of communication</li> <li>create / archive workshop descriptions and speaker profiles</li> <li>craft direct E-mail pieces for our ""Constant Contact"" application</li> </ul> <p>We meet bi-monthly to schedule / promote approximately 150 workshops per year. Occasionally there are additions and changes with speakers and venues, so flexibility is critical for success in this position.</p> <p>We are looking for a candidate who is creative, innovative and able to easily adapt to rapid changes in our workshop schedule. The ideal candidate will be comfortable working in a collaborative environment and using data to make marketing / editing decision. We are focused on providing a best-in-class client experience and you will have a significant role in helping us achieve that goal.</p>",We are in need of a copywriter / workshop volunteer.,,Score NYC,/opportunities/10190,ongoing,26 Federal Plaza,31st floor - Room 3100,New York,NY,10278,US,http://www.samaritansnyc.org/volunt.html,MANHATTAN,40.716,-74.0047,POINT(-74.004744 40.716015),101,1,31,1001674,1001560050,SoHo-TriBeCa-Civic Center-Little Italy
"<p>10 or more hours a week available to volunteer</p> <p>Clear speaking voice, with good command of English</p> <p>Basic computer skills</p> <p>Desire to join a team and give back to the business community</p>",Administrative Assistant,"<p>SCORE, is a national business mentoring organization with 300+ offices and 11,000+ volunteers. SCORE was founded in 1964 by the US Small Business Administration (SBA). SCORE 's mission is to provide FREE one-on-one confidential business counseling and affordable, skills-based workshops to small business owners and those wishing to start a business.</p> <p>SCORE NYC is the NY metro area local chapter. We have five convenient offices located in Brooklyn, Bronx and Manhattan. Annually, SCORE NYC assists over 5,000 clients and conducts in excess of 8,000 client mentoring sessions.</p> <p>SCORE NYC's volunteer team includes over 80 members with a wide variety of industry experience.</p> <p>This position is to offer administrative support to all volunteers. </p>",We have an immediate opening for an administrative assistant to support this non-profit organization that mentors small businesses and start-ups. This is a key role because it is often the first point of contact for clients and volunteers visiting or calling into our main offices.,,Score NYC,/opportunities/10191,ongoing,26 Federal Plaza,31st floor - Room 3100,New York,NY,10278,US,http://Jewishhome.org,MANHATTAN,40.716,-74.0047,POINT(-74.004744 40.716015),101,1,31,1001674,1001560050,SoHo-TriBeCa-Civic Center-Little Italy
"<p>Friendly and able to work with strangers. Must be able to comunicate your passion for jewelry - making to others with less experience. Position can be once a week, every two weeks or even once a month.&nbsp;</p>",Volunteer to Teach Making Jewelry,"<p>The NYPL's Morris Park Library is looking for a volunteer to teach jewelry making classes, once each week for 1 or 2 hours.</p> <p>Would you like to share your passion with othres? Day and or time can be flexible. Supplies will be provided.</p> <p>Please contact Volunteer Manager, Maura Muller at mauramuller@nypl.org to discuss. </p>","Are you crafty? Do you make bracelets, rings or earrings? Would you like to show others how to make jewelry?",,New York Public Library,/opportunities/10195,ongoing,26 Federal Plaza,31st floor - Room 3100,New York,NY,10278,US,http://www.newyorkcity.score.org,MANHATTAN,40.716,-74.0047,POINT(-74.004744 40.716015),101,1,31,1001674,1001560050,SoHo-TriBeCa-Civic Center-Little Italy
